
3/3/2023 5:00:50 PM;Route1_2;18;(390.5, 1.0, 940.9);(402.0, 17.0, 1042.3);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(386.9, 0.0, 1084.8);Two;30;100;60;100;0;0;True;False;False;False;15.956;4.466;0.000;492.797
3/3/2023 5:01:10 PM;Route1_3;19;(386.2, 1.0, 1069.0);(402.0, 17.0, 1042.3);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(375.1, 0.0, 938.8);Two;30;100;60;100;0;0;False;False;False;True;14.946;3.678;0.000;522.922
3/3/2023 5:01:30 PM;Route2_3;20;(387.6, 1.0, 942.6);(273.0, 12.6, 971.3);(0.0, 0.2, 0.0, 1.0);(0.0, 20.0, 0.0);(197.2, 0.0, 936.4);Two;30;100;60;100;0;0;True;False;False;False;18.588;1.557;3.377;565.705
3/3/2023 5:01:51 PM;Route3_3;21;(205.4, 1.0, 946.5);(220.1, 12.6, 868.1);(0.0, 0.9, 0.0, 0.4);(0.0, 135.0, 0.0);(305.1, 0.0, 837.4);Two;30;100;60;100;0;0;False;False;True;False;19.133;3.101;0.023;610.654
3/3/2023 5:02:20 PM;Route4_3;22;(299.9, 1.0, 848.8);(372.3, 0.0, 766.7);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(378.4, 0.0, 723.7);Two;30;100;60;100;0;0;False;False;False;True;16.671;1.801;0.000;653.464
3/3/2023 5:02:49 PM;Route5_3;23;(386.7, 1.0, 730.5);(343.3, 0.0, 570.3);(0.0, -0.7, 0.0, 0.7);(0.0, 265.0, 0.0);(283.6, 0.0, 602.5);Two;30;100;60;100;0;0;True;False;False;False;25.978;0.000;2.833;725.732
3/3/2023 5:03:04 PM;Route6_3;24;(295.1, 1.0, 610.3);(221.5, 0.0, 620.9);(0.0, 0.7, 0.0, 0.7);(0.0, 90.0, 0.0);(155.8, 0.0, 618.9);Two;30;100;60;100;0;0;False;False;True;False;12.515;0.993;0.000;759.306
3/3/2023 5:03:21 PM;Route7_3;25;(155.4, 1.0, 613.7);(87.0, 0.0, 575.1);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(63.6, 0.0, 480.3);Two;30;100;60;100;0;0;False;False;False;True;14.447;2.891;0.022;791.037
3/3/2023 5:03:37 PM;Route8_3;26;(69.3, 1.0, 485.8);(178.2, 0.0, 467.4);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(216.9, 0.0, 495.9);Two;30;100;60;100;0;0;True;False;False;False;13.538;0.267;1.289;828.004
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
3/3/2023 5:09:22 PM;Route1;1;(386.2, 1.0, 1069.0);(402.0, 17.0, 1042.3);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(375.1, 0.0, 938.8);Two;30;100;60;100;0;0;True;False;False;False;18.043;5.156;0.000;33.506
3/3/2023 5:09:45 PM;Route2;2;(387.6, 1.0, 942.6);(273.0, 12.6, 971.3);(0.0, 0.2, 0.0, 1.0);(0.0, 20.0, 0.0);(197.2, 0.0, 936.4);Two;30;100;60;100;0;0;False;False;True;False;19.888;0.000;4.378;84.412
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RoutenNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
