
4.38;Route1;1;(382.6, 1.5, 1073.7);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.4;Route1;1;(382.6, 1.5, 1073.8);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.1);
4.42;Route1;1;(382.5, 1.5, 1073.8);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.44;Route1;1;(382.5, 1.5, 1073.8);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.46;Route1;1;(382.5, 1.5, 1073.9);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.48;Route1;1;(382.5, 1.5, 1073.9);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.5;Route1;1;(382.5, 1.5, 1073.9);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.52;Route1;1;(382.5, 1.5, 1074.0);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.54;Route1;1;(382.5, 1.5, 1074.0);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.56;Route1;1;(382.5, 1.5, 1074.0);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.58;Route1;1;(382.5, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.6;Route1;1;(382.5, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.62;Route1;1;(382.5, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.64;Route1;1;(382.5, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(4.0, 306.9, 357.6);
4.66;Route1;1;(382.5, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.7, 306.3, 358.1);
4.68;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.5, 306.1, 358.4);
